supplier,sku,product_name,source_field,raw_category_path,source_row_count
Gear For Life,OTTBL,The Two Tone Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OTV,The Traveller Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OTYS,The Yale Stripe Shirt - Mens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OVT,Vantage Top,Categorisation + category_ /_ sub category,Clothing / Fleece,1
Gear For Life,OWAS,Active Shorts – Womens,Categorisation + category_ /_ sub category,Clothing / Shorts,1
Gear For Life,OWCS,The Carnaby Shirt - Womens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OWDGFP,Dri Gear Fairway Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWDGHP,Dri Gear Hype Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWDGKP,Dri Gear Kinetic Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWDGOL,Dri Gear Ottoman Lite Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWDGP,Dri Gear Active Blitz Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWDGR,Dri Gear Plain Raglan Tee – Womens,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,OWDGS(C),Dri Gear Active Contrast Singlet - Womens,Categorisation + category_ /_ sub category,Clothing / Singlets,1
Gear For Life,OWDGS(P),Dri Gear Plain Singlet - Womens,Categorisation + category_ /_ sub category,Clothing / Singlets,1
Gear For Life,OWDGSH,Dri Gear Shorts - Womens,Categorisation + category_ /_ sub category,Clothing / Shorts,1
Gear For Life,OWDGSS,Dri Gear Spliced Zenith Singlet - Womens,Categorisation + category_ /_ sub category,Clothing / Singlets,1
Gear For Life,OWDGT,Dri Gear Active Viper Tee - Womens,Categorisation + category_ /_ sub category,Clothing / T Shirts,1
Gear For Life,OWDGVQP,Dri Gear Vanquish Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWEGMCI,Merino Contrast Insert Pullover – Womens,Categorisation + category_ /_ sub category,Clothing / Wool,1
Gear For Life,OWEGMFV,Merino Fully Fashioned Vest - Womens,Categorisation + category_ /_ sub category,Clothing / Merino,1
Gear For Life,OWEGMV,Merino Vest - Womens,Categorisation + category_ /_ sub category,Clothing / Wool,1
Gear For Life,OWEP,Eclipse Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWJO,Jacquard Ottoman Balmoral Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWLCS,Womens Long Sleeve Cruze Shirt,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OWLV,Legacy Vest – Womens,Categorisation + category_ /_ sub category,Clothing / Vests,1
Gear For Life,OWMHP,Manhattan Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWMWJ,Melton Wool Ceo Jacket - Womens,Categorisation + category_ /_ sub category,Clothing / Jackets,1
Gear For Life,OWPCP,Pinacool Eco Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWQDP,Quantum Duo Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWRWP,Retro Waffle Polo - Womens,Categorisation + category_ /_ sub category,Clothing / Polo Shirts,1
Gear For Life,OWSB,Womens Stretch Fitted Blouse,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OWTDN,The Denison Shirt – Womens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OWTE,The Express Teflon Shirt - Womens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OWTFL,The Farrell Shirt - Womens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OWTL,The Limited Teflon Shirt - Womens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
Gear For Life,OWTM,The Metro Knightsbridge Shirt – Womens,Categorisation + category_ /_ sub category,Clothing / Shirts,1
