product_code,product_name,product_url
OC514,Bamboo Tote,https://www.intexglobal.com/product/bamboo-tote/
FOLB10,Shopping Trolley Bags,https://www.intexglobal.com/product/shopping-trolley-bags/
FOLB01,Melbourne Foldable Bag With Gusset,https://www.intexglobal.com/product/melbourne-foldable-bag-with-gusset/
FOLB05,Adelaide Shopping Bag With Gusset,https://www.intexglobal.com/product/adelaide-shopping-bag-with-gusset/
WPPB01,Full Colour Printed Conference Bag,https://www.intexglobal.com/product/full-colour-printed-conference-bag/
OCBMS118,Single Bottle Wine Bag,https://www.intexglobal.com/product/single-bottle-wine-bag/
OCBMS121,Full Colour Printed Tote Bag,https://www.intexglobal.com/product/full-colour-printed-tote-bag/
JUTB04,Large Jute Shopping Bag,https://www.intexglobal.com/product/large-jute-shopping-bag/
JUTB23,Jute Shopping Bag,https://www.intexglobal.com/product/jute-shopping-bag/
JUTB11,Jute Boutique Bag With Gusset,https://www.intexglobal.com/product/jute-boutique-bag-with-gusset/
JUTB10,6 Can Jute Cooler Bag,https://www.intexglobal.com/product/6-can-jute-cooler-bag/
JUTB03,Large Jute Tote Bag With Gusset,https://www.intexglobal.com/product/large-jute-tote-bag-with-gusset/
OCBBP1011,Calico Pocket Jute Tote Bag,https://www.intexglobal.com/product/calico-pocket-jute-tote-bag/
PAPB01KCL,Large Coloured Kraft Paper Bag,https://www.intexglobal.com/product/large-coloured-kraft-paper-bag/
PAPB01GLXL,Extra Large Full Coloured Laminated Bag,https://www.intexglobal.com/product/extra-large-full-coloured-laminated-bag/
PAPB01GLM,Medium Full Coloured Laminated Bag,https://www.intexglobal.com/product/medium-full-coloured-laminated-bag/
PAPB01GLL,Large Full Coloured Laminated Bag,https://www.intexglobal.com/product/large-full-coloured-laminated-bag/
PAPB01KWXL,Kraft Paper Bag White Extra Large Includes Twisted Paper Handle,https://www.intexglobal.com/product/kraft-paper-bag-white-extra-large-includes-twisted-paper-handle/
PAPB01KCXL,Medium Coloured Kraft Paper Bag,https://www.intexglobal.com/product/medium-coloured-kraft-paper-bag/
PAPB01KCS,Small  Coloured Kraft Paper Bag,https://www.intexglobal.com/product/small-coloured-kraft-paper-bag/
PAPB01GLS,Small Full Coloured Laminated Bag,https://www.intexglobal.com/product/small-full-coloured-laminated-bag/
OCBAB109,Full Colour Print Landscape Bag,https://www.intexglobal.com/product/full-colour-print-landscape-bag/
OCBAB112,1 Bottle White Kraft Paper Wine Tote,https://www.intexglobal.com/product/1-bottle-white-kraft-paper-wine-tote/
OCPB800,100% Recycled Paper Bag with Paper Webbed Handle,https://www.intexglobal.com/product/100-recycled-paper-bag-with-paper-webbed-handle/
OCBMS423,50% Recycled Natural Kraft Shopping Bag,https://www.intexglobal.com/product/50-recycled-natural-kraft-shopping-bag/
OCBBC108,Cotton Wine Bottle Gift Tote,https://www.intexglobal.com/product/cotton-wine-bottle-gift-tote/
LIFE110,Chill Wine Bag With Gel,https://www.intexglobal.com/product/chill-wine-bag-with-gel/
COSD05,Stainless Steel Coaster,https://www.intexglobal.com/product/stainless-steel-coaster/
BMTD02,Rubber Bar Mat Sublimated,https://www.intexglobal.com/product/rubber-bar-mat-sublimated/
BMTD01,Rubber Bar Mat,https://www.intexglobal.com/product/rubber-bar-mat/
OCP781796,Bondi Cocktail Shaker,https://www.intexglobal.com/product/bondi-cocktail-shaker/
OCB-OPEN8A,Vinyl Wrapped Paddle Style Bottle Opener,https://www.intexglobal.com/product/vinyl-wrapped-paddle-style-bottle-opener/
OCB-OPEN8C,Paddle Style Powder Coated Steel Bottle Opener,https://www.intexglobal.com/product/paddle-style-powder-coated-steel-bottle-opener/
OCB-OPEN11,Credit Card Polished Bottle Opener,https://www.intexglobal.com/product/credit-card-polished-bottle-opener/
MUGD05,Coffee Mug,https://www.intexglobal.com/product/coffee-mug/
MUGD7125,325ml Coloured Stoneware Mug With C-Handle,https://www.intexglobal.com/product/325ml-coloured-stoneware-mug-with-c-handle/
OC104193,Avery Coffee Mug,https://www.intexglobal.com/product/avery-coffee-mug/
OCP721707,Classic Mug,https://www.intexglobal.com/product/classic-mug/
OCC0014,Plain Ceramic Mug 300ml,https://www.intexglobal.com/product/plain-ceramic-mug-300ml/
OC9390,600ml Jupiter Glass Bottle With Neoprene Sleeve,https://www.intexglobal.com/product/600ml-jupiter-glass-bottle-with-neoprene-sleeve/
OC2402,Genesis Glass Bottle,https://www.intexglobal.com/product/genesis-glass-bottle/
OC2016B,500ml Japanese Style Vacuum Bottle,https://www.intexglobal.com/product/500ml-japanese-style-vacuum-bottle/
PLAD01,Plastic Cups With Domed Cap,https://www.intexglobal.com/product/plastic-cups-with-domed-cap/
SPBD31,2.2 Litre Gym bottle,https://www.intexglobal.com/product/2-2-litre-gym-bottle/
OCDR10,Flex Water Bottle With Carabiner,https://www.intexglobal.com/product/flex-water-bottle-with-carabiner/
OC0441,350ml Matador Coffee Cup,https://www.intexglobal.com/product/350ml-matador-coffee-cup/
OCP721953,Diamond Cut Insulated Travel Mug,https://www.intexglobal.com/product/diamond-cut-insulated-travel-mug/
FAN001,Foldable Fan,https://www.intexglobal.com/product/foldable-fan/
ASSN01,Hacky Sack,https://www.intexglobal.com/product/hacky-sack/
ASSN10,Printed Shoelaces,https://www.intexglobal.com/product/printed-shoelaces/
OCLS117,Classic Cow Bell,https://www.intexglobal.com/product/classic-cow-bell/
OH4888,Plastic Hand Fan,https://www.intexglobal.com/product/plastic-hand-fan/
AUTO03,Helios Foldable Car Sun Visor,https://www.intexglobal.com/product/foldable-car-sun-visor/
AUTO21,Astro Side Window Car Sunshade,https://www.intexglobal.com/product/side-window-car-sunshade/
OCC109,Tyre Gauge,https://www.intexglobal.com/product/tyre-gauge/
OCAEM101,Expandable Boot Organizer,https://www.intexglobal.com/product/expandable-boot-organizer/
OC30X168,AMG Folding Car Sunshade,https://www.intexglobal.com/product/folding-car-sunshade/
LIFE32,Sweat Band With Zipper,https://www.intexglobal.com/product/sweat-band-with-zipper/
SCSE04,Padded Nylon Stadium Cushion,https://www.intexglobal.com/product/padded-nylon-stadium-cushion/
OC31X293,Terry Wrist Sweatband,https://www.intexglobal.com/product/terry-wrist-sweatband/
OC5601,Swimming Caps - Silicone,https://www.intexglobal.com/product/swimming-caps-silicone/
FRBN03,Foldable Nylon Fun Flyer,https://www.intexglobal.com/product/foldable-nylon-fun-flyer/
OH59,Playing Cards In Case,https://www.intexglobal.com/product/playing-cards-in-case/
OCNRPC01,Recycled Paper Playing Cards,https://www.intexglobal.com/product/recycled-paper-playing-cards/
MEKR03,Bradford Aluminium Bottle Opener Keyring,https://www.intexglobal.com/product/bradford-aluminium-bottle-opener-keyring/
OH2080,Metal Keyring With Bottle Opener,https://www.intexglobal.com/product/metal-keyring-with-bottle-opener/
STRS02,Round Ball Stress Shape,https://www.intexglobal.com/product/round-ball-stress-shape/
STRS03,Football Stress Shape,https://www.intexglobal.com/product/football-stress-shape/
STRS04,Basketball Stress Shape,https://www.intexglobal.com/product/basketball-stress-shape/
STRS14,Australia Stress Shape,https://www.intexglobal.com/product/australia-stress-shape/
STRS29,Safety Helmet Stress Shape,https://www.intexglobal.com/product/safety-helmet-stress-shape/
STRS34,Oval Stress Shape Keyring,https://www.intexglobal.com/product/oval-stress-shape-keyring/
STRS41,Earth Stress Shape,https://www.intexglobal.com/product/earth-stress-shape/
TRAV07,PU Leather Luggage Tag,https://www.intexglobal.com/product/pu-leather-luggage-tag/
EYE01,Eye Mask,https://www.intexglobal.com/product/eye-mask/
OH9752,Journey Luggage Tag,https://www.intexglobal.com/product/journey-luggage-tag/
UMBR07,London Business Umbrella,https://www.intexglobal.com/product/london-business-umbrella/
PS8017,Beach Ball - 60cm,https://www.intexglobal.com/product/beach-ball-60cm/
NEOP52,"15"" Premium Sublimated Neoprene Laptop Sleeve With Zipper",https://www.intexglobal.com/product/16-premium-neoprene-laptop-sleeve-with-zipper/
AUTO06,Shadex Foldable Car Sunshade,https://www.intexglobal.com/product/foldable-car-sunshade/
PS2301,Fitness Shaker - 600Ml,https://www.intexglobal.com/product/fitness-shaker-600ml/
UMBR01,Bonville Golf Umbrella,https://www.intexglobal.com/product/bonville-golf-umbrella/
UMBR04,Central Park Umbrella,https://www.intexglobal.com/product/central-park-umbrella/
UMBB01,Beach Umbrella,https://www.intexglobal.com/product/beach-umbrella/
LANY14,Dog Collars And Leads,https://www.intexglobal.com/product/dog-collars-and-leads/
LANY14a,Dog Lead,https://www.intexglobal.com/product/lany14a/
SUNG03,Wayferer Sunglasses,https://www.intexglobal.com/product/wayferer-sunglasses/
OCA810395,Sunbus Sunglasses,https://www.intexglobal.com/product/sunbus-sunglasses/
OC721908,Sigma RPET Sunglasses,https://www.intexglobal.com/product/sigma-rpet-sunglasses/
UMBR10,The Dunes Golf Umbrella,https://www.intexglobal.com/product/the-dunes-golf-umbrella/
RUKY01,Moulded PVC Custom Keyring,https://www.intexglobal.com/product/moulded-pvc-custom-keyring/
UMBR03,St Andrews Golf Umbrella,https://www.intexglobal.com/product/st-andrews-golf-umbrella/
